key,paper,bmp,response_class,treatment,control,response_var,sign,treatment_control_flag,response_flag,response_flag_notes,species,link,error_class,beta,n,sd,se,lcl,ucl,xbar_e,n_e,sd_e,se_e,lcl_e,ucl_e,xbar_c,n_c,sd_c,se_c,lcl_c,ucl_c,baseline_survival,beta_is_derived,notes,survival_scale
5UCEGHY8,Zhao et al. 2020,upgrade_to_darksky,abundance,Green light,Red light,Number of birds captured,-1,apples,0,NA,all_species,log,confidence_intervals,4.66,136,NA,NA,1.42,15.22,NA,68,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA
5UCEGHY8,Zhao et al. 2020,upgrade_to_darksky,abundance,Blue light,Red light,Number of birds captured,-1,apples,0,NA,all_species,log,confidence_intervals,7.83,136,NA,NA,1.63,37.51,NA,68,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA
C3NIZKWQ,Wilson et al. 2022,prescribed_fire,abundance,Burned fields,Unburned fields,abundance (individuals/ha),1,apples,0,NA,dickcissel,NA,standard_error,-0.07,108,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3NIZKWQ,Wilson et al. 2022,prescribed_fire,abundance,Burned fields,Unburned fields,abundance (individuals/ha),1,apples,0,NA,grasshopper_sparrow,NA,standard_error,0.08,108,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3NIZKWQ,Wilson et al. 2022,prescribed_fire,abundance,Burned fields,Unburned fields,abundance (individuals/ha),1,apples,0,NA,brown_headed_cowbird,NA,standard_error,-0.06,108,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X3E5MBG4,Ahlering and Merkord 2016,prescribed_fire,abundance,Burned fields,Unburned fields,abundance,1,apples,0,NA,bobolink,NA,standard_error,-0.054,183,NA,0.332,NA,NA,NA,24,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA
X3E5MBG4,Ahlering and Merkord 2016,prescribed_fire,abundance,Burned fields,Unburned fields,abundance,1,apples,0,NA,upland_sandpiper,NA,standard_error,-0.918,183,NA,0.373,NA,NA,NA,24,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA
X3E5MBG4,Ahlering and Merkord 2016,grazing_intensity,abundance,Burned fields,Unburned fields,abundance,1,apples,0,NA,grasshopper_sparrow,NA,standard_error,1.325,183,NA,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X3E5MBG4,Ahlering and Merkord 2016,grazing_intensity,abundance,Burned fields,Unburned fields,abundance,1,apples,0,NA,bobolink,NA,standard_error,0.166,183,NA,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X3E5MBG4,Ahlering and Merkord 2016,grazing_intensity,abundance,Burned fields,Unburned fields,abundance,1,apples,0,NA,upland_sandpiper,NA,standard_error,0.14,183,NA,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQWJQUTF,Fink et al. 2006,edge_and_shrub_habitat,abundance,Edge habitat,Glade habitat,density (territories/ha),1,apples,0,NA,blue_winged_warbler,NA,confidence_intervals,-0.37,3,NA,NA,-0.5,-0.24,0.37,3,NA,NA,0.22,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQWJQUTF,Fink et al. 2006,edge_and_shrub_habitat,abundance,Edge habitat,Glade habitat,density (territories/ha),1,apples,0,NA,eastern_towhee,NA,confidence_intervals,-0.06,3,NA,NA,-0.16,0.05,0.05,3,NA,NA,-0.01,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQWJQUTF,Fink et al. 2006,edge_and_shrub_habitat,abundance,Edge habitat,Glade habitat,density (territories/ha),1,apples,0,NA,field_sparrow,NA,confidence_intervals,0.38,3,NA,NA,0.18,0.59,0.2,3,NA,NA,-0.02,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQWJQUTF,Fink et al. 2006,edge_and_shrub_habitat,abundance,Edge habitat,Glade habitat,density (territories/ha),1,apples,0,NA,indigo_bunting,NA,confidence_intervals,0,3,NA,NA,-0.17,0.17,0.94,3,NA,NA,0.51,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQWJQUTF,Fink et al. 2006,edge_and_shrub_habitat,abundance,Edge habitat,Glade habitat,density (territories/ha),1,apples,0,NA,northern_cardinal,NA,confidence_intervals,0.09,3,NA,NA,-0.06,0.24,0.32,3,NA,NA,0.13,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQWJQUTF,Fink et al. 2006,edge_and_shrub_habitat,abundance,Edge habitat,Glade habitat,density (territories/ha),1,apples,0,NA,prairie_warbler,NA,confidence_intervals,-0.69,3,NA,NA,-1.23,-0.15,0.92,3,NA,NA,0.44,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQWJQUTF,Fink et al. 2006,edge_and_shrub_habitat,abundance,Edge habitat,Glade habitat,density (territories/ha),1,apples,0,NA,white_eyed_vireo,NA,confidence_intervals,-0.02,3,NA,NA,-0.07,0.04,0.42,3,NA,NA,0.22,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IQWJQUTF,Fink et al. 2006,edge_and_shrub_habitat,abundance,Edge habitat,Glade habitat,density (territories/ha),1,apples,0,NA,yellow_breasted_chat,NA,confidence_intervals,-0.51,3,NA,NA,-0.91,-0.1,0.53,3,NA,NA,0.22,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57RFAGS5,Howell et al. 2021,edge_and_shrub_habitat,nest_success,High edge density,No edge,Proportion of eggs hatched for a given clutch size,1,apples,1,Insufficient information,northern_bobwhite,identity,confidence_intervals,0.11,308,NA,NA,0.05,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Proportion of eggs hatched for a given clutch size,period_survival
57RFAGS5,Howell et al. 2021,edge_and_shrub_habitat,nest_success,High edge density,No edge,Number of female chicks per female,1,apples,1,productivity,northern_bobwhite,identity,confidence_intervals,0.67,308,NA,NA,0.17,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Number of female chicks per female,period_survival
57RFAGS5,Howell et al. 2021,edge_and_shrub_habitat,survival,High edge density,No edge,survival,1,apples,1,juvenile_survival,northern_bobwhite,NA,confidence_intervals,0.14,872,NA,NA,0.04,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abundance based on covey call count surveys,NA
57RFAGS5,Howell et al. 2021,edge_and_shrub_habitat,survival,High edge density,No edge,non-breeding season survival,1,apples,1,juvenile_survival,northern_bobwhite,NA,confidence_intervals,-0.19,872,NA,NA,-0.28,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abundance based on covey call count surveys,NA
57RFAGS5,Howell et al. 2021,provide_overwintering_habitat,survival,High edge density,No edge,non-breeding season survival,1,apples,1,juvenile_survival,northern_bobwhite,NA,confidence_intervals,-0.19,872,NA,NA,-0.28,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abundance based on covey call count surveys,NA
57RFAGS5,Howell et al. 2021,edge_and_shrub_habitat,abundance,High edge density,No edge,density (birds/ha),1,apples,0,NA,northern_bobwhite,identity,confidence_intervals,0.07,9,NA,NA,-0.04,0.2,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,Survival based on radio-tagged individuals,NA
QIGRJQ54,Sitters et al. 2015,prescribed_fire,species_richness,After prescribed_fire,Before prescribed_fire,species_richness,1,apples,0,NA,all_species,NA,confidence_intervals,-0.029,192,NA,NA,-1.69,1.11,NA,96,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA
QIGRJQ54,Sitters et al. 2015,manage_in_patches,species_richness,After prescribed_fire,Before prescribed_fire,species_richness,1,apples,0,NA,all_species,NA,confidence_intervals,-0.029,192,NA,NA,-1.69,1.11,NA,96,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA
J6MAVCRC,Lindenmayer et al. 2023,edge_and_shrub_habitat,species_richness,Rotational grazing,Continuous grazing,species_richness,1,apples,0,NA,all_species,NA,confidence_intervals,-0.0419,71,NA,NA,-0.2374,0.15360000000000001,NA,57,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,Traced from plot,NA
