species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,traitdata,vgbi,vickery_1999,analysis_class,include
canyon_wren,Deserts,NA,shrub; rocky_areas; desert; artificial,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
cape_may_warbler,Forests,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Boreal; Islands:  Terrestrial Habitats,NA,NA,NA,NA,other,FALSE
caribbean_elaenia,NA,NA,forest; woodland; shrub; artificial; coastal,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
carnivores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
carolina_chickadee,Forests,NA,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,other,FALSE
carolina_wren,Open Woodlands,NA,forest; shrub; artificial,NA,NA,Forests:  Temperate Eastern,shrubland,NA,NA,NA,other,FALSE
caspian_tern,Shorelines,NA,rocky_areas; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Lakes and Rivers; Coasts:  Beach and Estuary,NA,NA,NA,NA,other,FALSE
cassins_finch,Forests,NA,forest; woodland; shrub,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
cassins_kingbird,Open Woodlands,NA,forest; woodland; shrub; savannah; grasslands; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
cassins_sparrow,Grasslands,NA,shrub; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,grassland obligate,obligate,TRUE
cassins_vireo,Forests,NA,forest; woodland,NA,NA,Forests:  Temperate Western; Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
cattle_egret,Grasslands,NA,NA,NA,NA,Wetlands:  Generalist; Open Country:  Developed/Disturbed; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,facultative grassland,facultative,TRUE
cattle_tyrant,NA,NA,shrub; savannah; grasslands; artificial; coastal,NA,NA,Open Country:  Developed/Disturbed; Grasslands:  Tropical,NA,NA,NA,NA,facultative,TRUE
cave_swallow,Grasslands,NA,rocky_areas; artificial; riparian; wetlands_lakes_marsh,NA,NA,Aridlands Aerial:  Desert Scrub; Open Country Aerial:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
cedar_waxwing,Open Woodlands,NA,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
cerulean_warbler,Forests,NA,forest; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,other,FALSE
chestnut_backed_chickadee,Forests,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
chestnut_collared_longspur,Grasslands,NA,grasslands,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,grassland obligate,obligate,TRUE
chestnut_sided_warbler,Open Woodlands,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen,shrubland,NA,NA,NA,other,FALSE
chihuahuan_raven,Scrub,NA,shrub; grasslands; desert; artificial,NA,NA,Grasslands:  Chihuahuan; Aridlands:  Desert Scrub; Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,facultative,TRUE
chimney_swift,Towns,NA,forest; shrub; artificial; riparian; coastal,NA,NA,Open Country Aerial:  Developed/Disturbed; Open Country Aerial:  Habitat Mosaic; Forest Aerial:  Tropical Lowland Evergreen,NA,NA,facultative grassland,NA,facultative,TRUE
chipping_sparrow,Open Woodlands,NA,forest; woodland; shrub; savannah; artificial,NA,NA,Forests:  Temperate Generalist; Open Country:  Habitat Mosaic,NA,NA,facultative grassland,NA,facultative,TRUE
chuck_wills_widow,Open Woodlands,NA,forest; woodland; shrub; grasslands; artificial,NA,NA,Forests:  Temperate Eastern; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
chukar,Scrub,NA,forest; shrub; savannah; rocky_areas; artificial,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
cinnamon_rumped_seedeater,NA,NA,shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
cinnamon_teal,Marshes,NA,wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
clapper_rail,Marshes,NA,coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
clarks_nutcracker,Forests,NA,forest; desert; artificial,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
clay_colored_sparrow,Scrub,NA,forest; woodland; shrub; grasslands; riparian; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Open Country:  Habitat Mosaic; Grasslands:  Chihuahuan,NA,NA,NA,facultative grassland,facultative,TRUE
clay_colored_thrush,NA,NA,forest; woodland; shrub; grasslands; plains; artificial,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
cliff_swallow,Lakes and Ponds,NA,grasslands; rocky_areas; artificial,NA,NA,Open Country Aerial:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
common_eider,Oceans,NA,rocky_areas; riparian; coastal; wetlands_lakes_marsh; pelagic,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Rocky Intertidal,NA,NA,NA,NA,other,FALSE
common_gallinule,Marshes,NA,artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh,NA,NA,NA,NA,other,FALSE
common_goldeneye,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Forested; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
common_grackle,Open Woodlands,NA,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
common_ground_dove,Scrub,NA,woodland; shrub; savannah; artificial,NA,NA,Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,facultative grassland,facultative,TRUE
common_loon,Lakes and Ponds,NA,coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
common_merganser,Lakes and Ponds,NA,NA,NA,NA,Wetlands:  Forested; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
common_myna,NA,NA,shrub; grasslands; desert; artificial; riparian; coastal,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
common_nighthawk,Grasslands,NA,forest; woodland; shrub; grasslands; rocky_areas; artificial; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
common_pauraque,Forests,NA,NA,NA,NA,Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
common_poorwill,Scrub,NA,forest; woodland; shrub; grasslands; plains; desert,NA,NA,Aridlands:  Desert Scrub; Aridlands:  Sagebrush,NA,NA,NA,facultative grassland,facultative,TRUE
common_quail,NA,NA,shrub; grasslands; artificial,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
common_raven,Forests,NA,forest; woodland; shrub; plains; rocky_areas; desert; artificial; coastal,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
common_redpoll,Open Woodlands,NA,NA,NA,NA,Tundra:  Arctic; Forests:  Boreal; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
common_snipe,NA,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative grassland,facultative,TRUE
common_tern,Shorelines,NA,grasslands; rocky_areas; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,facultative,TRUE
common_tody_flycatcher,NA,NA,woodland; shrub; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
common_wood_pigeon,NA,NA,NA,NA,NA,NA,NA,deciduous_forest; coniferous_forest; woodland; human_settlements,NA,NA,other,FALSE
common_yellowthroat,Scrub,NA,shrub; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Wetlands:  Freshwater Marsh,shrubland,NA,facultative grassland,facultative grassland,facultative,TRUE
connecticut_warbler,Forests,NA,forest; woodland; shrub; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
coopers_hawk,Forests,NA,forest; artificial; riparian,NA,NA,Forests:  Temperate Generalist; Open Country:  Habitat Mosaic,NA,NA,facultative grassland,NA,facultative,TRUE
corn_bunting,NA,NA,shrub; grasslands; rocky_areas; artificial,NA,NA,NA,NA,grassland,NA,NA,obligate,TRUE
corncrake,NA,NA,forest; savannah; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,grassland,NA,NA,obligate,TRUE
costas_hummingbird,Deserts,NA,shrub; savannah; grasslands; plains; desert; artificial; coastal,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,facultative,TRUE
couchs_kingbird,Open Woodlands,NA,woodland; shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
crested_bobwhite,NA,NA,woodland; shrub; savannah; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
crested_caracara,Scrub,NA,shrub; savannah; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
crissal_thrasher,Scrub,NA,woodland; shrub; desert; riparian,NA,NA,Aridlands:  Desert Scrub; Aridlands:  Desert Riparian,NA,NA,NA,NA,shrub,FALSE
curve_billed_thrasher,Scrub,NA,woodland; shrub; desert; artificial,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
dark_eyed_junco,NA,NA,woodland; shrub; grasslands; artificial,NA,NA,Forests:  Temperate Generalist; Open Country:  Habitat Mosaic,NA,NA,facultative grassland,NA,facultative,TRUE
dickcissel,Grasslands,NA,shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
double_crested_cormorant,Lakes and Ponds,NA,rocky_areas; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Beach and Estuary; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
double_striped_thick_knee,NA,NA,shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
downy_woodpecker,Forests,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Temperate Generalist,NA,NA,facultative grassland,NA,facultative,TRUE
dunlin,NA,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,facultative grassland,facultative,TRUE
dusky_capped_flycatcher,Forests,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
dusky_flycatcher,Open Woodlands,NA,NA,NA,NA,Forests:  Temperate Western; Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
dusky_grouse,Forests,NA,forest; shrub; grasslands,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,facultative,TRUE
dwarf_vireo,NA,NA,woodland; shrub,NA,NA,Aridlands:  Tropical Arid Scrub,NA,NA,NA,NA,shrub,FALSE
eared_grebe,Lakes and Ponds,NA,NA,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
eastern_bluebird,Grasslands,NA,woodland; shrub; grasslands,NA,NA,Forests:  Temperate Eastern; Forests:  Mesoamerican Pine-Oak,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
eastern_kingbird,Grasslands,NA,forest; woodland; shrub; rocky_areas; artificial,NA,NA,Open Country:  Habitat Mosaic; Grasslands:  Temperate; Forests:  Tropical Lowland Evergreen,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
eastern_meadowlark,Grasslands,NA,shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
eastern_phoebe,Open Woodlands,NA,woodland; artificial,NA,NA,Open Country:  Habitat Mosaic; Forests:  Temperate Eastern,NA,NA,facultative grassland,NA,facultative,TRUE
eastern_screech_owl,Forests,NA,forest; woodland; artificial,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,other,FALSE
eastern_towhee,Scrub,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Temperate Eastern,shrubland,NA,facultative grassland,NA,facultative,TRUE
eastern_whip_poor_will,Open Woodlands,NA,forest; woodland; shrub; coastal,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
eastern_wood_pewee,Forests,NA,forest; woodland; shrub,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
eastern_yellow_wagtail,Tundra,NA,forest; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
edge_species,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
elegant_quail,NA,NA,forest; shrub,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Scrub,NA,NA,NA,facultative grassland,facultative,TRUE
elegant_trogon,Forests,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
elf_owl,Deserts,NA,woodland; plains; desert; riparian,NA,NA,Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,facultative,TRUE
emperor_goose,NA,NA,coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh; Coasts:  Marine Waters; Coasts:  Rocky Intertidal,NA,NA,NA,facultative grassland,facultative,TRUE
eskimo_curlew,NA,NA,shrub; grasslands; coastal,NA,NA,Tundra:  Arctic; Grasslands:  Pampas and Campos,NA,NA,NA,grassland obligate,obligate,TRUE
eurasian_blue_tit,NA,NA,NA,NA,NA,NA,NA,woodland,NA,NA,other,FALSE
eurasian_collared_dove,Towns,NA,shrub; savannah; plains; desert; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
eurasian_skylark,NA,NA,grasslands; plains; artificial; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,grassland; mountain_meadow,NA,NA,facultative,TRUE
eurasian_tree_sparrow,Towns,NA,woodland; plains; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
eurasian_wryneck,NA,NA,NA,NA,NA,NA,NA,woodland,NA,NA,other,FALSE
european_starling,Towns,NA,NA,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,other,FALSE
evening_grosbeak,Forests,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
facultative_grassland_species,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
farmland_bird_indicator_species,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
farmland_specialists,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
ferruginous_hawk,Grasslands,NA,savannah; grasslands; rocky_areas; artificial,NA,NA,Grasslands:  Temperate; Open Country:  Habitat Mosaic; Grasslands:  Chihuahuan,NA,NA,NA,grassland obligate,obligate,TRUE
field_sparrow,Scrub,NA,woodland; shrub; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic; Forests:  Temperate Eastern,shrubland,NA,facultative grassland,NA,facultative,TRUE
fish_crow,Shorelines,NA,woodland; rocky_areas; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Wetlands:  Generalist,NA,NA,NA,NA,facultative,TRUE
five_striped_sparrow,NA,NA,shrub; rocky_areas; desert,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
florida_scrub_jay,Scrub,NA,shrub,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,other,FALSE
fork_tailed_flycatcher,NA,NA,woodland; shrub; savannah; grasslands; coastal,NA,NA,Grasslands:  Tropical,NA,NA,NA,facultative grassland,facultative,TRUE
forsters_tern,Marshes,NA,rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Beach and Estuary,NA,NA,NA,NA,other,FALSE
fox_sparrow,Forests,NA,NA,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Eastern; Aridlands:  Chaparral,NA,NA,facultative grassland,NA,facultative,TRUE
franklins_gull,Lakes and Ponds,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Beach and Estuary; Coasts:  Marine Waters,NA,NA,NA,facultative grassland,facultative,TRUE
frugivores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
fulvous_whistling_duck,Marshes,NA,artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
gadwall,Marshes,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
gambels_quail,Scrub,NA,shrub; desert; artificial; riparian,NA,NA,Aridlands:  Desert Scrub; Aridlands:  Desert Riparian,NA,NA,NA,NA,shrub,FALSE
generalists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
giant_cowbird,NA,NA,shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
gila_woodpecker,Deserts,NA,forest; plains; desert; artificial; riparian,NA,NA,Aridlands:  Desert Scrub; Aridlands:  Desert Riparian,NA,NA,NA,NA,facultative,TRUE
gilded_flicker,Deserts,NA,woodland; shrub; desert; riparian,NA,NA,Aridlands:  Desert Scrub; Aridlands:  Desert Riparian,NA,NA,NA,NA,shrub,FALSE
glaucous_gull,Shorelines,NA,rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Cliffs and Islands; Wetlands:  Tundra; Coasts:  Beach and Estuary; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
glaucous_winged_gull,Shorelines,NA,rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Beach and Estuary,NA,NA,NA,NA,other,FALSE
glossy_ibis,Marshes,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
golden_cheeked_warbler,Forests,NA,forest; shrub,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
golden_crowned_kinglet,Forests,NA,forest,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
golden_crowned_sparrow,Scrub,NA,forest; woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Tundra:  Alpine; Forests:  Temperate Western; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
golden_eagle,Grasslands,NA,woodland; shrub; grasslands; plains; desert; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
golden_fronted_woodpecker,Open Woodlands,NA,forest; woodland; shrub; plains; artificial; riparian,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,facultative,TRUE
golden_winged_warbler,Open Woodlands,NA,forest; woodland; shrub; grasslands; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen,shrubland,NA,NA,NA,facultative,TRUE
graces_warbler,Forests,NA,forest; savannah,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland,NA,NA,NA,NA,facultative,TRUE
granivores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
grasshopper_sparrow,Grasslands,NA,shrub; savannah; grasslands,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,grassland obligate,obligate,TRUE
grasshopper_sparrow_henslows_sparrow,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
grassland_facultative_species,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
grassland_obligates,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
grassland_specialists,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
grassland_species,NA,facultative,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
grassland_yellow_finch,NA,NA,savannah; grasslands; artificial; coastal,NA,NA,Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
gray_breasted_martin,NA,NA,NA,NA,NA,Open Country Aerial:  Habitat Mosaic; Open Country Aerial:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
gray_capped_flycatcher,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
gray_catbird,Open Woodlands,NA,NA,NA,NA,Forests:  Temperate Eastern; Forests:  Temperate Western; Forests:  Tropical Generalist,shrubland,NA,NA,NA,other,FALSE
gray_cheeked_thrush,Forests,NA,NA,NA,NA,Forests:  Boreal; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
gray_crowned_rosy_finch,NA,NA,NA,NA,NA,Tundra:  Alpine; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
gray_crowned_yellowthroat,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
gray_flycatcher,Open Woodlands,NA,NA,NA,NA,Forests:  Temperate Western; Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,shrub,FALSE
gray_hawk,Forests,NA,NA,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Riparian; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
gray_kingbird,Open Woodlands,NA,NA,NA,NA,Coasts:  Mangroves; Islands:  Terrestrial Habitats; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
gray_lined_hawk,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
gray_partridge,Grasslands,NA,NA,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,facultative,TRUE
gray_thrasher,NA,NA,NA,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
gray_vireo,Scrub,NA,NA,NA,NA,Forests:  Temperate Western; Aridlands:  Chaparral; Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
great_black_backed_gull,Shorelines,NA,grasslands; artificial; coastal; wetlands_lakes_marsh; pelagic,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,facultative,TRUE
great_crested_flycatcher,Open Woodlands,NA,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
great_egret,Marshes,NA,NA,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
great_gray_owl,Forests,NA,NA,NA,NA,Forests:  Boreal,NA,NA,NA,NA,other,FALSE
great_horned_owl,Forests,NA,forest; woodland; rocky_areas; desert; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
great_kiskadee,Open Woodlands,NA,forest; woodland; shrub; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Forests:  Tropical Dry,NA,NA,NA,NA,facultative,TRUE
great_tailed_grackle,Scrub,NA,bamboo; shrub; grasslands; desert; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
great_tit,NA,NA,NA,NA,NA,NA,NA,woodland,NA,NA,other,FALSE
greater_pewee,Open Woodlands,NA,forest; woodland,NA,NA,Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
greater_prairie_chicken,Grasslands,NA,forest; woodland; shrub; savannah; grasslands; artificial; riparian; coastal,NA,NA,Grasslands:  Temperate,NA,NA,NA,grassland obligate,obligate,TRUE
greater_roadrunner,Scrub,NA,shrub; artificial,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
greater_sage_grouse,Grasslands,NA,NA,NA,NA,Aridlands:  Sagebrush,NA,NA,NA,NA,other,FALSE
greater_scaup,Lakes and Ponds,NA,forest; grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,facultative,TRUE
greater_white_fronted_goose,Lakes and Ponds,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
greater_yellowlegs,Marshes,NA,forest; shrub; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
green_heron,Marshes,NA,forest; artificial; riparian; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
green_jay,Open Woodlands,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
green_kingfisher,Rivers and Streams,NA,forest; woodland; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
green_tailed_towhee,Scrub,NA,shrub; riparian,NA,NA,Aridlands:  Sagebrush; Aridlands:  Desert Scrub; Aridlands:  Desert Riparian,NA,NA,NA,NA,shrub,FALSE
green_winged_teal,Marshes,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
