effect_id,key,source_sheet,source_row,extraction_type,design,response_class,response_var,survival_scale,link,baseline_survival,beta_is_derived,treatment,control,species,sign,treatment_control_flag,response_flag,response_dir,notes,bmp,paper,region,species_group,analysis_class,species_include,xbar_e,xbar_c,n_e,n_c,sd_e,sd_c,se_e,se_c,lcl_e,lcl_c,ucl_e,ucl_c,df_e,df_c
md_0195,ILUKKWJA,mean_diff,236,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,indigo_bunting,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.048,0.278,42,18,,,0.033,0.135,,,,,,
md_0196,ILUKKWJA,mean_diff,237,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,indigo_bunting,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.392,0.278,51,18,,,0.119,0.135,,,,,,
md_0197,ILUKKWJA,mean_diff,238,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,mourning_dove,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.143,0.157,42,51,,,0.073,0.071,,,,,,
md_0198,ILUKKWJA,mean_diff,239,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,mourning_dove,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.143,0.111,42,18,,,0.073,0.076,,,,,,
md_0199,ILUKKWJA,mean_diff,240,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,mourning_dove,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.157,0.111,51,18,,,0.071,0.076,,,,,,
md_0200,ILUKKWJA,mean_diff,241,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,common_grackle,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.024,0.078,42,51,,,0.024,0.055,,,,,,
md_0201,ILUKKWJA,mean_diff,242,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,common_grackle,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.024,0.111,42,18,,,0.024,0.076,,,,,,
md_0202,ILUKKWJA,mean_diff,243,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,common_grackle,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.078,0.111,51,18,,,0.055,0.076,,,,,,
md_0203,ILUKKWJA,mean_diff,244,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,yellow_billed_cuckoo,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0,0.059,42,51,,,0,0.044,,,,,,
md_0204,ILUKKWJA,mean_diff,245,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,yellow_billed_cuckoo,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0,0.056,42,18,,,0,0.056,,,,,,
md_0205,ILUKKWJA,mean_diff,246,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,yellow_billed_cuckoo,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0.059,0.056,51,18,,,0.044,0.056,,,,,,
md_0206,ILUKKWJA,mean_diff,247,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,brown_headed_cowbird,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.078,42,51,,,0,0.047,,,,,,
md_0207,ILUKKWJA,mean_diff,248,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,brown_headed_cowbird,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0,42,18,,,0,0,,,,,,
md_0208,ILUKKWJA,mean_diff,249,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,brown_headed_cowbird,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.078,0,51,18,,,0.047,0,,,,,,
md_0209,ILUKKWJA,mean_diff,250,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,ruby_throated_hummingbird,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,woodland,FALSE,0,0.039,42,51,,,0,0.039,,,,,,
md_0210,ILUKKWJA,mean_diff,251,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,ruby_throated_hummingbird,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,woodland,FALSE,0,0.056,42,18,,,0,0.056,,,,,,
md_0211,ILUKKWJA,mean_diff,252,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,ruby_throated_hummingbird,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,woodland,FALSE,0.039,0.056,51,18,,,0.039,0.056,,,,,,
md_0212,ILUKKWJA,mean_diff,253,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,eastern_meadowlark,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,obligate,TRUE,0,0.039,42,51,,,0,0.028,,,,,,
md_0213,ILUKKWJA,mean_diff,254,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,eastern_meadowlark,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,obligate,TRUE,0,0.056,42,18,,,0,0.056,,,,,,
md_0214,ILUKKWJA,mean_diff,255,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,eastern_meadowlark,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,obligate,TRUE,0.039,0.056,51,18,,,0.028,0.056,,,,,,
md_0215,ILUKKWJA,mean_diff,256,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,northern_bobwhite,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.02,42,51,,,0,0.02,,,,,,
md_0216,ILUKKWJA,mean_diff,257,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,northern_bobwhite,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.056,42,18,,,0,0.056,,,,,,
md_0217,ILUKKWJA,mean_diff,258,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,northern_bobwhite,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.02,0.056,51,18,,,0.02,0.056,,,,,,
md_0218,ILUKKWJA,mean_diff,259,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,northern_mockingbird,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.039,42,51,,,0,0.028,,,,,,
md_0219,ILUKKWJA,mean_diff,260,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,northern_mockingbird,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0,42,18,,,0,0,,,,,,
md_0220,ILUKKWJA,mean_diff,261,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,northern_mockingbird,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.039,0,51,18,,,0.028,0,,,,,,
md_0221,ILUKKWJA,mean_diff,262,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,red_tailed_hawk,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.02,42,51,,,0,0.02,,,,,,
md_0222,ILUKKWJA,mean_diff,263,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,red_tailed_hawk,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0,42,18,,,0,0,,,,,,
md_0223,ILUKKWJA,mean_diff,264,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,red_tailed_hawk,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.02,0,51,18,,,0.02,0,,,,,,
md_0224,ILUKKWJA,mean_diff,265,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,wild_turkey,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.02,42,51,,,0,0.02,,,,,,
md_0225,ILUKKWJA,mean_diff,266,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,wild_turkey,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0,42,18,,,0,0,,,,,,
md_0226,ILUKKWJA,mean_diff,267,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,wild_turkey,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.02,0,51,18,,,0.02,0,,,,,,
md_0227,ILUKKWJA,mean_diff,268,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,killdeer,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.02,42,51,,,0,0.02,,,,,,
md_0228,ILUKKWJA,mean_diff,269,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,killdeer,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0,42,18,,,0,0,,,,,,
md_0229,ILUKKWJA,mean_diff,270,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,killdeer,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.02,0,51,18,,,0.02,0,,,,,,
md_0230,ILUKKWJA,mean_diff,271,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,great_crested_flycatcher,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0,0.02,42,51,,,0,0.02,,,,,,
md_0231,ILUKKWJA,mean_diff,272,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,great_crested_flycatcher,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0,0,42,18,,,0,0,,,,,,
md_0232,ILUKKWJA,mean_diff,273,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,great_crested_flycatcher,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0.02,0,51,18,,,0.02,0,,,,,,
md_0233,ILUKKWJA,mean_diff,274,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,horned_lark,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,obligate,TRUE,0,0.02,42,51,,,0,0.02,,,,,,
md_0234,ILUKKWJA,mean_diff,275,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,horned_lark,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,obligate,TRUE,0,0,42,18,,,0,0,,,,,,
md_0235,ILUKKWJA,mean_diff,276,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,horned_lark,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,obligate,TRUE,0.02,0,51,18,,,0.02,0,,,,,,
md_0236,ILUKKWJA,mean_diff,277,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,brown_thrasher,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0,0.02,42,51,,,0,0.02,,,,,,
md_0237,ILUKKWJA,mean_diff,278,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,brown_thrasher,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0,0,42,18,,,0,0,,,,,,
md_0238,ILUKKWJA,mean_diff,279,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,brown_thrasher,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0.02,0,51,18,,,0.02,0,,,,,,
md_0239,ILUKKWJA,mean_diff,280,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,blue_grosbeak,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0,42,51,,,0,0,,,,,,
md_0240,ILUKKWJA,mean_diff,281,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,blue_grosbeak,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.056,42,18,,,0,0.056,,,,,,
md_0241,ILUKKWJA,mean_diff,282,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,blue_grosbeak,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.056,51,18,,,0,0.056,,,,,,
md_0242,ILUKKWJA,mean_diff,283,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,painted_bunting,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.02,42,51,,,0,0.02,,,,,,
md_0243,ILUKKWJA,mean_diff,284,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,painted_bunting,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0,42,18,,,0,0,,,,,,
md_0244,ILUKKWJA,mean_diff,285,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,painted_bunting,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.02,0,51,18,,,0.02,0,,,,,,
md_0245,ILUKKWJA,mean_diff,286,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,eastern_towhee,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0,0,42,51,,,0,0,,,,,,
md_0246,ILUKKWJA,mean_diff,287,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,eastern_towhee,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0,0.056,42,18,,,0,0.056,,,,,,
md_0247,ILUKKWJA,mean_diff,288,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,eastern_towhee,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,shrub,FALSE,0,0.056,51,18,,,0,0.056,,,,,,
md_0248,ILUKKWJA,mean_diff,289,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,narrow field margin,orchard_oriole,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0.02,42,51,,,0,0.02,,,,,,
md_0249,ILUKKWJA,mean_diff,290,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,no field margin,wide-bordered field margin,orchard_oriole,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0,0,42,18,,,0,0,,,,,,
md_0250,ILUKKWJA,mean_diff,291,mean_difference,categorical,abundance,density (birds/0.2 ha),,,,,narrow field margin,wide-bordered field margin,orchard_oriole,-1,apples,0,,Sample size is actually lower than this. They included year in their sample size.,stream_exclusion_and_buffers,Conover et al. 2009,southeast_us,species,facultative,TRUE,0.02,0,51,18,,,0.02,0,,,,,,
md_0251,ZFUENEQI,mean_diff,292,mean_difference,categorical,abundance,nest density (nests/100 ha),,,,,Riparian forest buffer adjacent to wooded vegetation,Riparian forest buffer adjacent to non-wooded vegetation,red_winged_blackbird,,oranges,0,,Does not test the bmp,edge_and_shrub_habitat,Conover et al. 2011,southeast_us,species,facultative,TRUE,64.81,103.17,27,23,,,,,23.61,43.03,106.01,163.31,,
md_0252,ZFUENEQI,mean_diff,293,mean_difference,categorical,abundance,nest density (nests/100 ha),,,,,Riparian forest buffer adjacent to wooded vegetation,Riparian forest buffer adjacent to non-wooded vegetation,dickcissel,,oranges,0,,Does not test the bmp,edge_and_shrub_habitat,Conover et al. 2011,southeast_us,species,obligate,TRUE,37.04,65.22,27,23,,,,,2.8999999999999986,32.82,71.18,97.62,,
md_0253,47D2B23I,mean_diff,294,mean_difference,categorical,species_richness,species_richness,,,,,Diverse strips (2005),monotypic filter strips (2005),all_species,1,oranges,0,,Estimated from plot; Review whether this is an appropriate nwsg test,plant_nwsg,Conover et al. 2014,southeast_us,aggregate,,TRUE,2.45,2.3,20,20,,,0.1,0.25,,,,,,
md_0254,47D2B23I,mean_diff,295,mean_difference,categorical,species_richness,species_richness,,,,,Diverse strips (2006),monotypic filter strips (2006),all_species,1,oranges,0,,Estimated from plot,plant_nwsg,Conover et al. 2014,southeast_us,aggregate,,TRUE,1.7,1.25,20,20,,,0.075,0.1,,,,,,
md_0255,47D2B23I,mean_diff,296,mean_difference,categorical,species_richness,species_richness,,,,,Diverse strips (2007),monotypic filter strips (2007),all_species,1,oranges,0,,Estimated from plot,plant_nwsg,Conover et al. 2014,southeast_us,aggregate,,TRUE,1.75,1.7,20,20,,,0.075,0.1,,,,,,
md_0256,47D2B23I,mean_diff,297,mean_difference,categorical,species_richness,species_richness,,,,,Riparian buffer strips (2005),monotypic filter strips (2005),all_species,1,apples,0,,Estimated from plot,stream_exclusion_and_buffers,Conover et al. 2014,southeast_us,aggregate,,TRUE,1.8,2.3,20,20,,,0.1,0.25,,,,,,
md_0257,47D2B23I,mean_diff,298,mean_difference,categorical,species_richness,species_richness,,,,,Riparian buffer strips (2006),monotypic filter strips (2006),all_species,1,apples,0,,Estimated from plot,stream_exclusion_and_buffers,Conover et al. 2014,southeast_us,aggregate,,TRUE,1.25,1.25,20,20,,,0.1,0.1,,,,,,
md_0258,47D2B23I,mean_diff,299,mean_difference,categorical,species_richness,species_richness,,,,,Riparian buffer strips (2007),monotypic filter strips (2007),all_species,1,apples,0,,Estimated from plot,stream_exclusion_and_buffers,Conover et al. 2014,southeast_us,aggregate,,TRUE,1.4,1.7,20,20,,,0.1,0.1,,,,,,
md_0259,47D2B23I,mean_diff,300,mean_difference,categorical,abundance,abundance,,,,,Diverse strips (2005),monotypic filter strips (2005),all_species,1,oranges,0,,Estimated from plot,plant_nwsg,Conover et al. 2014,southeast_us,aggregate,,TRUE,9.75,4.75,20,20,,,1,0.75,,,,,,
md_0260,47D2B23I,mean_diff,301,mean_difference,categorical,abundance,abundance,,,,,Diverse strips (2006),monotypic filter strips (2006),all_species,1,oranges,0,,Estimated from plot,plant_nwsg,Conover et al. 2014,southeast_us,aggregate,,TRUE,4.5,4,20,20,,,0.25,0.25,,,,,,
md_0261,47D2B23I,mean_diff,302,mean_difference,categorical,abundance,abundance,,,,,Diverse strips (2007),monotypic filter strips (2007),all_species,1,oranges,0,,Estimated from plot,plant_nwsg,Conover et al. 2014,southeast_us,aggregate,,TRUE,7.5,4.5,20,20,,,0.75,0.5,,,,,,
md_0262,47D2B23I,mean_diff,303,mean_difference,categorical,abundance,abundance,,,,,Riparian buffer strips (2005),monotypic filter strips (2005),all_species,1,apples,0,,Estimated from plot,stream_exclusion_and_buffers,Conover et al. 2014,southeast_us,aggregate,,TRUE,4.5,4.75,20,20,,,0.5,0.75,,,,,,
md_0263,47D2B23I,mean_diff,304,mean_difference,categorical,abundance,abundance,,,,,Riparian buffer strips (2006),monotypic filter strips (2006),all_species,1,apples,0,,Estimated from plot,stream_exclusion_and_buffers,Conover et al. 2014,southeast_us,aggregate,,TRUE,2.75,4,20,20,,,0.25,0.25,,,,,,
md_0264,47D2B23I,mean_diff,305,mean_difference,categorical,abundance,abundance,,,,,Riparian buffer strips (2007),monotypic filter strips (2007),all_species,1,apples,0,,Estimated from plot,stream_exclusion_and_buffers,Conover et al. 2014,southeast_us,aggregate,,TRUE,3.5,4.5,20,20,,,0.75,0.5,,,,,,
md_0265,KXCFYIJV,mean_diff,306,mean_difference,categorical,species_richness,species_richness,,,,,Patch-burn treatment,traditional management (entire pastures annually burned),all_species,1,apples,0,,Depends on what traditional management refers to,manage_in_patches,Coppedge et al. 2008,great_plains,aggregate,,TRUE,9.36,9.33,2,2,,,0.28,0.32,,,,,,
md_0266,KXCFYIJV,mean_diff,307,mean_difference,categorical,species_richness,species_richness,,,,,Patch-burn treatment,traditional management (entire pastures annually burned),grassland_obligates,1,apples,0,,,manage_in_patches,Coppedge et al. 2008,great_plains,guild,obligate,TRUE,4.47,4.11,2,2,,,0.11,0.1,,,,,,
md_0267,KXCFYIJV,mean_diff,308,mean_difference,categorical,abundance,abundance,,,,,Patch-burn treatment,traditional management (entire pastures annually burned),all_species,1,apples,0,,,manage_in_patches,Coppedge et al. 2008,great_plains,aggregate,,TRUE,8.13,7.52,2,2,,,0.28,0.27,,,,,,
md_0268,KXCFYIJV,mean_diff,309,mean_difference,categorical,abundance,abundance,,,,,Patch-burn treatment,traditional management (entire pastures annually burned),grassland_obligates,1,apples,0,,,manage_in_patches,Coppedge et al. 2008,great_plains,guild,obligate,TRUE,6.96,6.45,2,2,,,0.27,0.2,,,,,,
md_0269,LNNCH8TG,mean_diff,310,mean_difference,categorical,nest_success,eggs per nest,period_survival,,,,native field,planted field,spragues_pipit,1,apples,1,,Treatment is defined here as the native field,plant_nwsg,Davis 2018,great_plains,species,obligate,TRUE,4.5,4.7,113,76,,,0.01,0.01,,,,,,
md_0270,LNNCH8TG,mean_diff,311,mean_difference,categorical,nest_success,fledglings per nest,period_survival,,,,native field,planted field,spragues_pipit,1,apples,1,,Treatment is defined here as the native field; unsure if number fledged is all nests or only successful nests,plant_nwsg,Davis 2018,great_plains,species,obligate,TRUE,1.2,0.9,113,76,,,0.01,0.02,,,,,,
md_0271,HZBZKNRR,mean_diff,312,mean_difference,categorical,abundance,abundance,,,,,native planted grassland (Saskatchewan),non-native planted grassland (Saskatchewan),savannah_sparrow,1,apples,0,,,plant_nwsg,Davis et al. 2013,great_plains,species,obligate,TRUE,5.5,5,120,120,,,0.22,0.18,,,,,,
md_0272,HZBZKNRR,mean_diff,313,mean_difference,categorical,abundance,abundance,,,,,native planted grassland (Alberta),non-native planted grassland (Alberta),savannah_sparrow,1,apples,0,,,plant_nwsg,Davis et al. 2013,great_plains,species,obligate,TRUE,2.1,3.6,96,96,,,0.15,0.19,,,,,,
md_0273,HZBZKNRR,mean_diff,314,mean_difference,categorical,abundance,abundance,,,,,native planted grassland (Saskatchewan),non-native planted grassland (Saskatchewan),bobolink,1,apples,0,,,plant_nwsg,Davis et al. 2013,great_plains,species,obligate,TRUE,0.04,0.5,120,120,,,0.02,0.08,,,,,,
md_0274,HZBZKNRR,mean_diff,315,mean_difference,categorical,abundance,abundance,,,,,native planted grassland (Saskatchewan),non-native planted grassland (Saskatchewan),western_meadowlark,1,apples,0,,,plant_nwsg,Davis et al. 2013,great_plains,species,obligate,TRUE,0.3,0.2,120,120,,,0.04,0.04,,,,,,
md_0275,HZBZKNRR,mean_diff,316,mean_difference,categorical,abundance,abundance,,,,,native planted grassland (Alberta),non-native planted grassland (Alberta),western_meadowlark,1,apples,0,,,plant_nwsg,Davis et al. 2013,great_plains,species,obligate,TRUE,0.4,0.2,96,96,,,0.07,0.04,,,,,,
md_0276,SQ8ICKWV,mean_diff,317,mean_difference,categorical,abundance,abundance,,,,,native pasture,planted pasture,savannah_sparrow,1,apples,0,,,plant_nwsg,Davis et al. 2016,great_plains,species,obligate,TRUE,7.8,4.7,14,15,,,,,4.7,2.5,10.8,6.9,,
md_0277,SQ8ICKWV,mean_diff,318,mean_difference,categorical,abundance,abundance,,,,,native pasture,planted pasture,grasshopper_sparrow,1,apples,0,,,plant_nwsg,Davis et al. 2016,great_plains,species,obligate,TRUE,0.6,1.5,14,15,,,,,0.1,0.4,1,2.7,,
