key,paper,bmp,response_class,predictor_var,response_var,species,error_class,beta,n,sd,se,lcl,ucl,notes,analysis_class,species_include,survival_scale
SKTLJM84,Mineau et al. 2005,eliminate_pesticides,population_trend,Granular pesticide index,population trend (1971 - 1996),western_meadowlark,standard_error,-0.17,29,NA,0.05,NA,NA,NA,obligate,TRUE,NA
4AIDB2L3,Monroe and O'Connell 2014,prescribed_fire,occupancy,Time since fire,Occurrence,le_contes_sparrow,standard_error; confidence_intervals,0.3993,78,NA,0.2572,0.0291,0.7696,NA,obligate,TRUE,NA
4AIDB2L3,Monroe and O'Connell 2014,provide_overwintering_habitat,occupancy,Time since fire,Occurrence,le_contes_sparrow,standard_error; confidence_intervals,0.3993,78,NA,0.2572,0.0291,0.7696,NA,obligate,TRUE,NA
EM65W494,Monroe et al. 2021,edge_and_shrub_habitat,abundance,Average shrub cover,abundance,obligate_grassland_species,confidence_intervals,-0.2,617,NA,NA,-0.39,-0.04,NA,obligate,TRUE,NA
V5IZTLTK,Müller et al. 2005,delay_hay,nest_success,Date at which 50% of the area has been hayed in Vna,Breeding success,whinchat,standard_error,1.22,90,NA,0.52,NA,NA,Breeding success is the proportion of pairs with fledged young; 90% mowed not provided,obligate,TRUE,period_survival
V5IZTLTK,Müller et al. 2005,delay_hay,nest_success,Date at which 90% of the area has been hayed in Pradellas,Breeding success,whinchat,standard_error,1.96,90,NA,0.41,NA,NA,Breeding success is the proportion of pairs with fledged young; 90% mowed not provided,obligate,TRUE,period_survival
PUDW4DXM,Murphy et al. 2017,edge_and_shrub_habitat,nest_success,Distance to edge,Nest survival,savannah_sparrow,standard_error,-0.458,141,NA,0.24,NA,NA,NA,obligate,TRUE,period_survival
PUDW4DXM,Murphy et al. 2017,edge_and_shrub_habitat,nest_success,Shrub cover,Nest survival,savannah_sparrow,standard_error,0.44,141,NA,0.387,NA,NA,NA,obligate,TRUE,period_survival
9AEJZWAW,Nelson et al. 2018,remove_non_native_shrubs,nest_success,Proportion of fescue cover,nest_survival,dickcissel,standard_error,-0.008,477,NA,0.003,NA,NA,NA,obligate,TRUE,period_survival
R9KBFI6I,Niemuth et al. 2017,edge_and_shrub_habitat,occupancy,Proportion of shrub cover,occupancy,upland_sandpiper,standard_error,0.2,16250,NA,0.05,NA,NA,NA,obligate,TRUE,NA
R9KBFI6I,Niemuth et al. 2017,edge_and_shrub_habitat,occupancy,Proportion of shrub cover,occupancy,lark_bunting,standard_error,0.21,16250,NA,0.05,NA,NA,NA,obligate,TRUE,NA
R9KBFI6I,Niemuth et al. 2017,edge_and_shrub_habitat,occupancy,Proportion of shrub cover,occupancy,savannah_sparrow,standard_error,-0.06,16250,NA,0.03,NA,NA,NA,obligate,TRUE,NA
R9KBFI6I,Niemuth et al. 2017,edge_and_shrub_habitat,occupancy,Proportion of shrub cover,occupancy,grasshopper_sparrow,standard_error,0.24,16250,NA,0.04,NA,NA,NA,obligate,TRUE,NA
R9KBFI6I,Niemuth et al. 2017,edge_and_shrub_habitat,occupancy,Proportion of shrub cover,occupancy,bobolink,standard_error,-0.55,16250,NA,0.09,NA,NA,NA,obligate,TRUE,NA
R9KBFI6I,Niemuth et al. 2017,edge_and_shrub_habitat,occupancy,Proportion of shrub cover (%),occupancy,eastern_meadowlark,standard_error,4.59,16250,NA,1.19,NA,NA,NA,obligate,TRUE,NA
8Q698FZ7,O'Loughlin et al. 2019,remove_non_native_shrubs,species_richness,Bitou bush cover,species_richness,all_species,standard_error,0.02,54,NA,0.01,NA,NA,NA,NA,TRUE,NA
8Q698FZ7,O'Loughlin et al. 2019,remove_non_native_shrubs,abundance,Bitou bush cover,abundance,all_species,standard_error,0.06,54,NA,0.02,NA,NA,NA,NA,TRUE,NA
YSAVDL5T,Pharr et al. 2023,upgrade_to_darksky,survival,Light pollution,survival,american_robin,standard_error,0.324,710,NA,0.165,NA,NA,NA,facultative,TRUE,NA
YSAVDL5T,Pharr et al. 2023,upgrade_to_darksky,survival,Light pollution,survival,gray_catbird,standard_error,-0.224,1592,NA,0.102,NA,NA,NA,other,FALSE,NA
YSAVDL5T,Pharr et al. 2023,upgrade_to_darksky,survival,Light pollution,survival,house_wren,standard_error,-0.505,1012,NA,0.163,NA,NA,NA,facultative,TRUE,NA
FQ4DXWJU,Saalfeld et al. 2016,provide_overwintering_habitat,abundance,Shrub cover  (% cover),Density,spragues_pipit,standard_error; confidence_intervals,-2.3408,260,NA,0.7264,-3.8061,-0.9026,NA,obligate,TRUE,NA
FQ4DXWJU,Saalfeld et al. 2016,edge_and_shrub_habitat,abundance,Shrub cover  (% cover),Density,spragues_pipit,standard_error; confidence_intervals,-2.3408,260,NA,0.7264,-3.8061,-0.9026,NA,obligate,TRUE,NA
FQ4DXWJU,Saalfeld et al. 2016,provide_overwintering_habitat,abundance,Shrub cover  (% cover),Density,savannah_sparrow,standard_error; confidence_intervals,0.8474,260,NA,0.1232,0.6112,1.0845,NA,obligate,TRUE,NA
FQ4DXWJU,Saalfeld et al. 2016,edge_and_shrub_habitat,abundance,Shrub cover  (% cover),Density,savannah_sparrow,standard_error; confidence_intervals,0.8474,260,NA,0.1232,0.6112,1.0845,NA,obligate,TRUE,NA
FQ4DXWJU,Saalfeld et al. 2016,provide_overwintering_habitat,abundance,NWSG (% cover),Density,spragues_pipit,standard_error; confidence_intervals,1.4183,260,NA,0.3655,0.8347,1.9834,NA,obligate,TRUE,NA
FQ4DXWJU,Saalfeld et al. 2016,plant_nwsg,abundance,NWSG (% cover),Density,spragues_pipit,standard_error; confidence_intervals,1.4183,260,NA,0.3655,0.8347,1.9834,NA,obligate,TRUE,NA
FQ4DXWJU,Saalfeld et al. 2016,provide_overwintering_habitat,abundance,NWSG (% cover),Density,savannah_sparrow,standard_error; confidence_intervals,0.8165,260,NA,0.151,0.5318,1.1022,NA,obligate,TRUE,NA
FQ4DXWJU,Saalfeld et al. 2016,plant_nwsg,abundance,NWSG (% cover),Density,savannah_sparrow,standard_error; confidence_intervals,0.8165,260,NA,0.151,0.5318,1.1022,NA,obligate,TRUE,NA
PNLEJZJE,Scheiman et al. 2003,remove_non_native_shrubs,nest_success,Percent spurge cover,nest_success,western_meadowlark,standard_error,0.17,20,NA,0.1,NA,NA,NA,obligate,TRUE,period_survival
JUHBU5DS,Sinnot et al. 2022,prescribed_fire,survival,Shrub cover,Juvenile survival,northern_bobwhite,confidence_intervals,0.205,212,NA,NA,-0.078,0.51,NA,facultative,TRUE,NA
AW4YIE65,Sinnot et al. 2023,plant_nwsg,nest_success,Native grass,Nest survival,northern_bobwhite,confidence_intervals,0.05,459,NA,NA,-0.09,0.19,NA,facultative,TRUE,period_survival
AW4YIE65,Sinnot et al. 2023,plant_nwsg,survival,Native grass,Adult breeding season survival,northern_bobwhite,confidence_intervals,0.05,955,NA,NA,-0.07,0.18,NA,facultative,TRUE,NA
AW4YIE65,Sinnot et al. 2023,edge_and_shrub_habitat,nest_success,Distance to woody vegetation,Nest survival,northern_bobwhite,confidence_intervals,0.26,459,NA,NA,0.12,0.41,NA,facultative,TRUE,period_survival
AW4YIE65,Sinnot et al. 2023,edge_and_shrub_habitat,survival,Distance to woody vegetation,Adult breeding season survival,northern_bobwhite,confidence_intervals,0.29,955,NA,NA,0.18,0.4,NA,facultative,TRUE,NA
WJIHQE52,Thieme et al. 2015,keep_cats_indoors,abundance,Cat activity,density,common_yellowthroat,standard_error; confidence_intervals,0.01,57,NA,0.01,-0.01,0.04,Values are from table 5 (plot level),facultative,TRUE,NA
WJIHQE52,Thieme et al. 2015,keep_cats_indoors,abundance,Cat activity,density,field_sparrow,standard_error; confidence_intervals,0.01,57,NA,0.01,-0.02,0.01,Values are from table 5 (plot level),facultative,TRUE,NA
WJIHQE52,Thieme et al. 2015,keep_cats_indoors,abundance,Cat activity,density,savannah_sparrow,standard_error; confidence_intervals,0.02,57,NA,0.02,-0.02,0.05,Values are from table 5 (plot level),obligate,TRUE,NA
WJIHQE52,Thieme et al. 2015,keep_cats_indoors,abundance,Cat activity,density,song_sparrow,standard_error; confidence_intervals,-0.01,57,NA,0.01,-0.02,0.01,Values are from table 5 (plot level),facultative,TRUE,NA
WJIHQE52,Thieme et al. 2015,keep_cats_indoors,abundance,Cat activity,density,eastern_meadowlark,standard_error; confidence_intervals,0.01,57,NA,0.04,-0.08,0.09,Values are from table 5 (plot level),obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,sharp_tailed_grouse,standard_deviation; confidence_intervals,0.127,44849,0.182,NA,-0.223,0.483,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,greater_prairie_chicken,standard_deviation; confidence_intervals,0.347,44849,0.246,NA,-0.125,0.835,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,lesser_prairie_chicken,standard_deviation; confidence_intervals,0.104,44849,0.245,NA,-0.362,0.578,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,mountain_plover,standard_deviation; confidence_intervals,0.093,44849,0.168,NA,-0.242,0.425,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,upland_sandpiper,standard_deviation; confidence_intervals,0.251,44849,0.077,NA,0.097,0.398,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,long_billed_curlew,standard_deviation; confidence_intervals,-0.365,44849,0.129,NA,-0.619,-0.114,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,marbled_godwit,standard_deviation; confidence_intervals,0.043,44849,0.141,NA,-0.232,0.315,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,wilsons_snipe,standard_deviation; confidence_intervals,-0.35,44849,0.153,NA,-0.658,-0.065,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,willet,standard_deviation; confidence_intervals,0.028,44849,0.181,NA,-0.323,0.381,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,wilsons_phalarope,standard_deviation; confidence_intervals,-0.113,44849,0.141,NA,-0.398,0.154,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,golden_eagle,standard_deviation; confidence_intervals,0.417,44849,0.254,NA,-0.072,0.937,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,northern_harrier,standard_deviation; confidence_intervals,0.157,44849,0.199,NA,-0.213,0.578,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,swainsons_hawk,standard_deviation; confidence_intervals,0.212,44849,0.183,NA,-0.132,0.587,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,ferruginous_hawk,standard_deviation; confidence_intervals,0.144,44849,0.21,NA,-0.264,0.563,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,burrowing_owl,standard_deviation; confidence_intervals,0.083,44849,0.19,NA,-0.277,0.468,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,short_eared_owl,standard_deviation; confidence_intervals,-0.012,44849,0.195,NA,-0.402,0.369,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,prairie_falcon,standard_deviation; confidence_intervals,-0.02,44849,0.227,NA,-0.477,0.419,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,eastern_kingbird,standard_deviation; confidence_intervals,-0.012,44849,0.054,NA,-0.118,0.092,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,chihuahuan_raven,standard_deviation; confidence_intervals,-0.045,44849,0.164,NA,-0.358,0.278,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,horned_lark,standard_deviation; confidence_intervals,-0.239,44849,0.036,NA,-0.311,-0.168,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,sedge_wren,standard_deviation; confidence_intervals,-0.113,44849,0.262,NA,-0.637,0.384,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,spragues_pipit,standard_deviation; confidence_intervals,0.057,44849,0.172,NA,-0.278,0.408,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,chestnut_collared_longspur,standard_deviation; confidence_intervals,-0.165,44849,0.087,NA,-0.337,-0.001,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,mccowns_longspur,standard_deviation; confidence_intervals,-0.452,44849,0.118,NA,-0.689,-0.228,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,cassins_sparrow,standard_deviation; confidence_intervals,0.504,44849,0.067,NA,0.373,0.635,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,grasshopper_sparrow,standard_deviation; confidence_intervals,0,44849,0.039,NA,-0.076,0.077,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,lark_sparrow,standard_deviation; confidence_intervals,0.273,44849,0.038,NA,0.197,0.347,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,lark_bunting,standard_deviation; confidence_intervals,0.251,44849,0.041,NA,0.17,0.333,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,clay_colored_sparrow,standard_deviation; confidence_intervals,0.271,44849,0.094,NA,0.088,0.452,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,vesper_sparrow,standard_deviation; confidence_intervals,0.377,44849,0.05,NA,0.28,0.475,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,bairds_sparrow,standard_deviation; confidence_intervals,-0.233,44849,0.123,NA,-0.483,0.006,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,savannah_sparrow,standard_deviation; confidence_intervals,-0.292,44849,0.089,NA,-0.473,-0.122,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,yellow_headed_blackbird,standard_deviation; confidence_intervals,-0.094,44849,0.135,NA,-0.36,0.175,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,bobolink,standard_deviation; confidence_intervals,-0.301,44849,0.121,NA,-0.553,-0.07,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,eastern_meadowlark,standard_deviation; confidence_intervals,0.176,44849,0.096,NA,-0.012,0.36,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,western_meadowlark,standard_deviation; confidence_intervals,-0.009,44849,0.047,NA,-0.103,0.08,NA,obligate,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,brown_headed_cowbird,standard_deviation; confidence_intervals,0.191,44849,0.045,NA,0.106,0.28,NA,facultative,TRUE,NA
BXJHLH2E,Pavlacky et al. 2022,edge_and_shrub_habitat,occupancy,Area (km2) of shrubland within 9 km2 landscapes,occupancy,brewers_blackbird,standard_deviation; confidence_intervals,0.312,44849,0.056,NA,0.202,0.423,NA,facultative,TRUE,NA
X4XTED4A,Pulliam et al. 2020,edge_and_shrub_habitat,abundance,Shrub cover,abundance,mccowns_longspur,standard_error,-0.81,22,NA,0.36,NA,NA,NA,obligate,TRUE,NA
FK52S6PF,Robinson and McChesney 2022,edge_and_shrub_habitat,nest_success,Distance to edge,Fledgling success (all nests),red_winged_blackbird,standard_error,-0.05,1293,NA,0.05,NA,NA,NA,facultative,TRUE,period_survival
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,northern_bobwhite,confidence_intervals,0.14,990,NA,NA,-0.1,0.39,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,common_grackle,confidence_intervals,-0.16,990,NA,NA,-0.37,0.05,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,dickcissel,confidence_intervals,-0.84,990,NA,NA,-1.76,0.08,NA,obligate,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,eastern_meadowlark,confidence_intervals,0.12,990,NA,NA,-0.02,0.44,NA,obligate,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,european_starling,confidence_intervals,0.03,990,NA,NA,-0.19,0.25,NA,other,FALSE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,grasshopper_sparrow,confidence_intervals,-0.14,990,NA,NA,-0.65,0.38,NA,obligate,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,horned_lark,confidence_intervals,-1.07,990,NA,NA,-1.56,-0.58,NA,obligate,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,red_winged_blackbird,confidence_intervals,0.02,990,NA,NA,-0.11,0.14,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,ring_necked_pheasant,confidence_intervals,-1.12,990,NA,NA,-1.35,1.11,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,savannah_sparrow,confidence_intervals,-0.91,990,NA,NA,-1.74,-0.09,NA,obligate,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,vesper_sparrow,confidence_intervals,-1.08,990,NA,NA,-2.04,-0.11,NA,obligate,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,common_yellowthroat,confidence_intervals,0.11,990,NA,NA,-0.06,0.28,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,eastern_towhee,confidence_intervals,0.23,990,NA,NA,0.01,0.45,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,gray_catbird,confidence_intervals,0.17,990,NA,NA,-0.04,0.37,NA,other,FALSE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,prairie_warbler,confidence_intervals,0.59,990,NA,NA,-0.19,1.37,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,white_eyed_vireo,confidence_intervals,-0.32,990,NA,NA,-0.88,0.24,NA,other,FALSE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,willow_flycatcher,confidence_intervals,-0.09,990,NA,NA,-0.6,0.41,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,yellow_breasted_chat,confidence_intervals,0.03,990,NA,NA,-0.33,0.39,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,baltimore_oriole,confidence_intervals,-0.08,990,NA,NA,-0.49,0.33,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,carolina_wren,confidence_intervals,0.31,990,NA,NA,0.06,0.56,NA,other,FALSE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,eastern_phoebe,confidence_intervals,0.3,990,NA,NA,-0.12,0.73,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,northern_cardinal,confidence_intervals,0.06,990,NA,NA,-0.06,0.19,NA,facultative,TRUE,NA
BT92EEE8,Rosenblatt et al. 2022,edge_and_shrub_habitat,abundance,Count of edgees between forest and agriculture land covers,abundance,song_sparrow,confidence_intervals,0.06,990,NA,NA,-0.06,0.17,NA,facultative,TRUE,NA
WZAFZTLQ,Silber et al. 2024,edge_and_shrub_habitat,occupancy,Distance to shrubs,resource selection,grasshopper_sparrow,standard_error,2.457,1200,NA,3.3784,NA,NA,NA,obligate,TRUE,NA
WZAFZTLQ,Silber et al. 2024,edge_and_shrub_habitat,occupancy,Distance to shrubs,resource selection,eastern_meadowlark,standard_error,1.8005,95,NA,26.7817,NA,NA,NA,obligate,TRUE,NA
WZAFZTLQ,Silber et al. 2024,edge_and_shrub_habitat,occupancy,Distance to shrubs,resource selection,dickcissel,standard_error,-2.6811,180,NA,16.398,NA,NA,NA,obligate,TRUE,NA
WZAFZTLQ,Silber et al. 2024,edge_and_shrub_habitat,occupancy,Distance to trees,resource selection,grasshopper_sparrow,standard_error,3.8485,1200,NA,1.2534,NA,NA,NA,obligate,TRUE,NA
WZAFZTLQ,Silber et al. 2024,edge_and_shrub_habitat,occupancy,Distance to trees,resource selection,eastern_meadowlark,standard_error,7.3861,95,NA,10.2108,NA,NA,NA,obligate,TRUE,NA
WZAFZTLQ,Silber et al. 2024,edge_and_shrub_habitat,occupancy,Distance to trees,resource selection,dickcissel,standard_error,4.9421,180,NA,7.9259,NA,NA,NA,obligate,TRUE,NA
WZAFZTLQ,Silber et al. 2024,edge_and_shrub_habitat,occupancy,Proportion of shrubs,resource selection,grasshopper_sparrow,standard_error,-4.1662,1200,NA,0.5304,NA,NA,NA,obligate,TRUE,NA
WZAFZTLQ,Silber et al. 2024,edge_and_shrub_habitat,occupancy,Proportion of shrubs,resource selection,eastern_meadowlark,standard_error,-4.4675,95,NA,4.2483,NA,NA,NA,obligate,TRUE,NA
WZAFZTLQ,Silber et al. 2024,edge_and_shrub_habitat,occupancy,Proportion of shrubs,resource selection,dickcissel,standard_error,-0.5749,180,NA,3.0959,NA,NA,NA,obligate,TRUE,NA
2F9Q2KZV,Söderström et al. 1998,edge_and_shrub_habitat,nest_success,Distance to edge,nest_success,artificial_nests,standard_error,0,228,NA,0.01,NA,NA,NA,NA,NA,period_survival
NXUHSS5J,Thompson et al. 2014,edge_and_shrub_habitat,abundance,Count of shrubs within 50 m,density,bobolink,standard_error,-0.23,446,NA,0.09,NA,NA,NA,obligate,TRUE,NA
NXUHSS5J,Thompson et al. 2014,edge_and_shrub_habitat,abundance,Count of shrubs within 50 m,density,clay_colored_sparrow,standard_error,0.13,446,NA,0.05,NA,NA,NA,facultative,TRUE,NA
NXUHSS5J,Thompson et al. 2014,edge_and_shrub_habitat,abundance,Count of shrubs within 50 m,density,savannah_sparrow,standard_error,-0.26,446,NA,0.09,NA,NA,NA,obligate,TRUE,NA
NXUHSS5J,Thompson et al. 2014,edge_and_shrub_habitat,abundance,Count of shrubs within 50 m,density,sedge_wren,standard_error,-0.08,446,NA,0.1,NA,NA,NA,obligate,TRUE,NA
43J4RKSJ,Vold et al. 2019,edge_and_shrub_habitat,abundance,ln(shrub cover),abundance,vesper_sparrow,standard_error,0.17,610,NA,0.05,NA,NA,NA,obligate,TRUE,NA
43J4RKSJ,Vold et al. 2019,reduce_grazing_intensity,abundance,Stocking rate,abundance,grasshopper_sparrow,standard_error,-0.1,610,NA,0.03,NA,NA,NA,obligate,TRUE,NA
JAHCYCIP,Walk et al. 2010,edge_and_shrub_habitat,nest_success,Distance to edge,daily nest survival,dickcissel,confidence_intervals,0.0015,505,NA,NA,-0.02162,0.01855,NA,obligate,TRUE,daily_survival
JAHCYCIP,Walk et al. 2010,edge_and_shrub_habitat,nest_success,Distance to edge,daily nest survival,eastern_meadowlark,confidence_intervals,-0.0109,311,NA,NA,-0.00635,0.03836,NA,obligate,TRUE,daily_survival
MRPSC6G6,Young et al. 2019,edge_and_shrub_habitat,survival,Shrub area,Juvenile survival,henslows_sparrow,standard_error,-1.11,46,NA,0.34,NA,NA,NA,obligate,TRUE,NA
MRPSC6G6,Young et al. 2019,prescribed_fire,survival,second year post-burn,Juvenile survival,henslows_sparrow,standard_error,1.56,46,NA,0.62,NA,NA,NA,obligate,TRUE,NA
