key,paper,bmp,response_class,Treatment,Control,response_var,species,error_class,xbar_e,n_e,sd_e,se_e,lcl_e,ucl_e,xbar_c,n_c,sd_c,se_c,lcl_c,ucl_c,notes
47D2B23I,Conover et al. 2014,Plant native warm season grasses (NWSGs) and wildflowers,species_richness,Diverse strips (2007),monotypic filter strips (2007),species_richness,all_species,standard_error,1.75,20,NA,0.075,NA,NA,1.7,20,NA,0.1,NA,NA,Estimated from plot
47D2B23I,Conover et al. 2014,Stream exclusion and buffer plantings,species_richness,Riparian buffer strips (2005),monotypic filter strips (2005),species_richness,all_species,standard_error,1.8,20,NA,0.1,NA,NA,2.3,20,NA,0.25,NA,NA,Estimated from plot
47D2B23I,Conover et al. 2014,Stream exclusion and buffer plantings,species_richness,Riparian buffer strips (2006),monotypic filter strips (2006),species_richness,all_species,standard_error,1.25,20,NA,0.1,NA,NA,1.25,20,NA,0.1,NA,NA,Estimated from plot
47D2B23I,Conover et al. 2014,Stream exclusion and buffer plantings,species_richness,Riparian buffer strips (2007),monotypic filter strips (2007),species_richness,all_species,standard_error,1.4,20,NA,0.1,NA,NA,1.7,20,NA,0.1,NA,NA,Estimated from plot
47D2B23I,Conover et al. 2014,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Diverse strips (2005),monotypic filter strips (2005),abundance,all_species,standard_error,9.75,20,NA,1,NA,NA,4.75,20,NA,0.75,NA,NA,Estimated from plot
47D2B23I,Conover et al. 2014,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Diverse strips (2006),monotypic filter strips (2006),abundance,all_species,standard_error,4.5,20,NA,0.25,NA,NA,4,20,NA,0.25,NA,NA,Estimated from plot
47D2B23I,Conover et al. 2014,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Diverse strips (2007),monotypic filter strips (2007),abundance,all_species,standard_error,7.5,20,NA,0.75,NA,NA,4.5,20,NA,0.5,NA,NA,Estimated from plot
47D2B23I,Conover et al. 2014,Stream exclusion and buffer plantings,abundance,Riparian buffer strips (2005),monotypic filter strips (2005),abundance,all_species,standard_error,4.5,20,NA,0.5,NA,NA,4.75,20,NA,0.75,NA,NA,Estimated from plot
47D2B23I,Conover et al. 2014,Stream exclusion and buffer plantings,abundance,Riparian buffer strips (2006),monotypic filter strips (2006),abundance,all_species,standard_error,2.75,20,NA,0.25,NA,NA,4,20,NA,0.25,NA,NA,Estimated from plot
47D2B23I,Conover et al. 2014,Stream exclusion and buffer plantings,abundance,Riparian buffer strips (2007),monotypic filter strips (2007),abundance,all_species,standard_error,3.5,20,NA,0.75,NA,NA,4.5,20,NA,0.5,NA,NA,Estimated from plot
KXCFYIJV,Coppedge et al. 2008,Prescribed fire; Manage fields in patches,species_richness,Patch-burn treatment,traditional management,species_richness,all_species,standard_error,9.36,2,NA,0.28,NA,NA,9.33,2,NA,0.32,NA,NA,NA
KXCFYIJV,Coppedge et al. 2008,Prescribed fire; Manage fields in patches,species_richness,Patch-burn treatment,traditional management,species_richness,grassland_obligates,standard_error,4.47,2,NA,0.11,NA,NA,4.11,2,NA,0.1,NA,NA,NA
KXCFYIJV,Coppedge et al. 2008,Prescribed fire; Manage fields in patches,abundance,Patch-burn treatment,traditional management,abundance,all_species,standard_error,8.13,2,NA,0.28,NA,NA,7.52,2,NA,0.27,NA,NA,NA
KXCFYIJV,Coppedge et al. 2008,Prescribed fire; Manage fields in patches,abundance,Patch-burn treatment,traditional management,abundance,grassland_obligates,standard_error,6.96,2,NA,0.27,NA,NA,6.45,2,NA,0.2,NA,NA,NA
LNNCH8TG,Davis 2018,Plant native warm season grasses (NWSGs) and wildflowers,nest_success,native field,planted field,eggs per nest,spragues_pipit,standard_error,4.5,113,NA,0.01,NA,NA,4.7,76,NA,0.01,NA,NA,Treatment is defined here as the native field
LNNCH8TG,Davis 2018,Plant native warm season grasses (NWSGs) and wildflowers,nest_success,native field,planted field,fledglings per nest,spragues_pipit,standard_error,1.2,113,NA,0.01,NA,NA,0.9,76,NA,0.02,NA,NA,Treatment is defined here as the native field; unsure if number fledged is all nests or only successful nests
HZBZKNRR,Davis et al. 2013,Plant native warm season grasses (NWSGs) and wildflowers,abundance,native planted grassland (Saskatchewan),non-native planted grassland (Saskatchewan),abundance,savannah_sparrow,standard_error,5.5,120,NA,0.22,NA,NA,5,120,NA,0.18,NA,NA,NA
HZBZKNRR,Davis et al. 2013,Plant native warm season grasses (NWSGs) and wildflowers,abundance,native planted grassland (Alberta),non-native planted grassland (Alberta),abundance,savannah_sparrow,standard_error,2.1,96,NA,0.15,NA,NA,3.6,96,NA,0.19,NA,NA,NA
HZBZKNRR,Davis et al. 2013,Plant native warm season grasses (NWSGs) and wildflowers,abundance,native planted grassland (Saskatchewan),non-native planted grassland (Saskatchewan),abundance,bobolink,standard_error,0.04,120,NA,0.02,NA,NA,0.5,120,NA,0.08,NA,NA,NA
HZBZKNRR,Davis et al. 2013,Plant native warm season grasses (NWSGs) and wildflowers,abundance,native planted grassland (Saskatchewan),non-native planted grassland (Saskatchewan),abundance,western_meadowlark,standard_error,0.3,120,NA,0.04,NA,NA,0.2,120,NA,0.04,NA,NA,NA
HZBZKNRR,Davis et al. 2013,Plant native warm season grasses (NWSGs) and wildflowers,abundance,native planted grassland (Alberta),non-native planted grassland (Alberta),abundance,western_meadowlark,standard_error,0.4,96,NA,0.07,NA,NA,0.2,96,NA,0.04,NA,NA,NA
SQ8ICKWV,Davis et al. 2016,Plant native warm season grasses (NWSGs) and wildflowers,abundance,native pasture,planted pasture,abundance,savannah_sparrow,confidence_intervals,7.8,14,NA,NA,4.7,10.8,4.7,15,NA,NA,2.5,6.9,NA
SQ8ICKWV,Davis et al. 2016,Plant native warm season grasses (NWSGs) and wildflowers,abundance,native pasture,planted pasture,abundance,grasshopper_sparrow,confidence_intervals,0.6,14,NA,NA,0.1,1,1.5,15,NA,NA,0.4,2.7,NA
SQ8ICKWV,Davis et al. 2016,Plant native warm season grasses (NWSGs) and wildflowers,abundance,native pasture,hay,abundance,savannah_sparrow,confidence_intervals,7.8,14,NA,NA,4.7,10.8,8.4,14,NA,NA,5.9,10.9,"Saskatchewan, Canada"
SQ8ICKWV,Davis et al. 2016,Plant native warm season grasses (NWSGs) and wildflowers,abundance,native pasture,hay,abundance,grasshopper_sparrow,confidence_intervals,0.6,14,NA,NA,0.1,1,1.7,14,NA,NA,0.1,0.33,"Saskatchewan, Canada"
SQ8ICKWV,Davis et al. 2016,Plant native warm season grasses (NWSGs) and wildflowers,nest_success,native pasture,planted pasture,number of nestlings surviving to fledging,savannah_sparrow,standard_error,1.3,61,NA,0.2,NA,NA,0.6,20,NA,0.2,NA,NA,NA
SQ8ICKWV,Davis et al. 2016,Plant native warm season grasses (NWSGs) and wildflowers,nest_success,native pasture,hay,number of nestlings surviving to fledging,savannah_sparrow,standard_error,1.3,61,NA,0.2,NA,NA,1,24,NA,0.3,NA,NA,NA
C8RH4NET,Davis et al. 2020,summer_pasture_stockpiling,abundance,Pulse-grazed,Traditional (season-long) grazed,abundance,mccowns_longspur,confidence_intervals,-0.214,18,NA,NA,-0.729,0.291,-1.781,51,NA,NA,-3.822,-0.262,NA
C8RH4NET,Davis et al. 2020,summer_pasture_stockpiling,abundance,Pulse-grazed,Traditional (season-long) grazed,abundance,horned_lark,confidence_intervals,0.099,18,NA,NA,-0.034,0.233,0.922,51,NA,NA,0.669,1.164,NA
C8RH4NET,Davis et al. 2020,summer_pasture_stockpiling,abundance,Pulse-grazed,Traditional (season-long) grazed,abundance,lark_bunting,confidence_intervals,0.11,18,NA,NA,-0.009,0.228,1.355,51,NA,NA,1.164,1.543,NA
C8RH4NET,Davis et al. 2020,summer_pasture_stockpiling,abundance,Pulse-grazed,Traditional (season-long) grazed,abundance,western_meadowlark,confidence_intervals,-0.048,18,NA,NA,-0.19,0.093,0.275,51,NA,NA,-0.553,0.006,NA
C8RH4NET,Davis et al. 2020,summer_pasture_stockpiling,abundance,Pulse-grazed,Traditional (season-long) grazed,abundance,grasshopper_sparrow,confidence_intervals,-0.023,18,NA,NA,-0.218,0.1,-0.768,51,NA,NA,-1.357,-0.164,NA
YXR6499E,Davis et al. 2020b,plant_nwsg,abundance,Native grassland,Exotic grassland,abundance,horned_lark,standard_error,1.1,192,NA,0.2,NA,NA,2.3,185,NA,0.3,NA,NA,Maximum number of singing males per point count
YXR6499E,Davis et al. 2020b,plant_nwsg,abundance,Native grassland,Exotic grassland,abundance,spragues_pipit,standard_error,1,192,NA,0.1,NA,NA,0,185,NA,0,NA,NA,Maximum number of singing males per point count
YXR6499E,Davis et al. 2020b,plant_nwsg,abundance,Native grassland,Exotic grassland,abundance,chestnut_collared_longspur,standard_error,1.1,192,NA,0.2,NA,NA,0.4,185,NA,0.2,NA,NA,Maximum number of singing males per point count
YXR6499E,Davis et al. 2020b,plant_nwsg,abundance,Native grassland,Exotic grassland,abundance,vesper_sparrow,standard_error,1.6,192,NA,0.2,NA,NA,2.3,185,NA,0.2,NA,NA,Maximum number of singing males per point count
YXR6499E,Davis et al. 2020b,plant_nwsg,abundance,Native grassland,Exotic grassland,abundance,savannah_sparrow,standard_error,3.4,192,NA,0.1,NA,NA,3.4,185,NA,0.2,NA,NA,Maximum number of singing males per point count
YXR6499E,Davis et al. 2020b,plant_nwsg,abundance,Native grassland,Exotic grassland,abundance,bairds_sparrow,standard_error,1.9,192,NA,0.2,NA,NA,0.2,185,NA,0.1,NA,NA,Maximum number of singing males per point count
YXR6499E,Davis et al. 2020b,plant_nwsg,abundance,Native grassland,Exotic grassland,abundance,western_meadowlark,standard_error,0.3,192,NA,0.1,NA,NA,0.3,185,NA,0.1,NA,NA,Maximum number of singing males per point count
YXR6499E,Davis et al. 2020b,plant_nwsg,abundance,Native grassland,Exotic grassland,abundance,brown_headed_cowbird,standard_error,0.1,192,NA,0,NA,NA,0.3,185,NA,0.1,NA,NA,Maximum number of singing males per point count
926Z83RQ,de Zwaan et al. 2024,Edge and Shrub Habitat,abundance,farms with woody features,farms without woody features,abundance,all_species,standard_error,8.7,327,NA,1.6,NA,NA,7.557,326,NA,2.531,NA,NA,"653 study sites total contributed to the prediction, but this was based on a projection from proportion of LWF, so I divided it in half"
IAAZA5MM,Denny et al. 2021,Delay hay,nest_success,late hay,early hay,dsr,savannah_sparrow,confidence_intervals,0.96,35,NA,NA,0.954,0.966,0.929,35,NA,NA,0.899,0.96,"Chose Philopatric, sample size is not provide by treatment, so this is assuming an even number of nests per treatment"
IAAZA5MM,Denny et al. 2021,Delay hay,nest_success,late hay,early hay,nest_success,savannah_sparrow,confidence_intervals,0.377,35,NA,NA,0.323,0.436,0.169,35,NA,NA,0.078,0.292,"Chose Philopatric, sample size is not provide by treatment, so this is assuming an even number of nests per treatment"
IAAZA5MM,Denny et al. 2021,Delay hay,nest_success,late hay,early hay,dsr,bobolink,confidence_intervals,0.967,29,NA,NA,0.957,0.975,0.94,28,NA,NA,0.904,0.963,"Chose Philopatric, sample size is not provide by treatment, so this is assuming an even number of nests per treatment"
IAAZA5MM,Denny et al. 2021,Delay hay,nest_success,late hay,early hay,nest_success,bobolink,confidence_intervals,0.432,29,NA,NA,0.333,0.531,0.216,28,NA,NA,0.08,0.39,"Chose Philopatric, sample size is not provide by treatment, so this is assuming an even number of nests per treatment"
YD99BG64,Duchardt et al. 2016,Prescribed fire; Manage fields in patches,abundance,patch-burn graze,graze-and-burn,density,dickcissel,standard_error,1.048,4,NA,0.132,NA,NA,0.941,4,NA,0.141,NA,NA,"Four pastures, but between 3 and 9 transects per treatment"
YD99BG64,Duchardt et al. 2016,Prescribed fire; Manage fields in patches,abundance,patch-burn graze,graze-and-burn,density,grasshopper_sparrow,standard_error,1.21,4,NA,0.07,NA,NA,1.004,4,NA,0.132,NA,NA,"Four pastures, but between 3 and 9 transects per treatment"
YD99BG64,Duchardt et al. 2016,Prescribed fire; Manage fields in patches,abundance,patch-burn graze,graze-and-burn,density,bobolink,standard_error,0.936,4,NA,0.102,NA,NA,0.722,4,NA,0.15,NA,NA,"Four pastures, but between 3 and 9 transects per treatment"
YD99BG64,Duchardt et al. 2016,Prescribed fire; Manage fields in patches,abundance,patch-burn graze,graze-and-burn,density,eastern_meadowlark,standard_error,0.909,4,NA,0.102,NA,NA,0.661,4,NA,0.062,NA,NA,"Four pastures, but between 3 and 9 transects per treatment"
YD99BG64,Duchardt et al. 2016,Prescribed fire; Manage fields in patches,abundance,patch-burn graze,graze-and-burn,density,red_winged_blackbird,standard_error,0.625,4,NA,0.127,NA,NA,0.775,4,NA,0.117,NA,NA,"Four pastures, but between 3 and 9 transects per treatment"
YD99BG64,Duchardt et al. 2016,Prescribed fire; Manage fields in patches,abundance,patch-burn graze,graze-and-burn,density,common_yellowthroat,standard_error,0.176,4,NA,0.043,NA,NA,0.256,4,NA,0.066,NA,NA,"Four pastures, but between 3 and 9 transects per treatment"
YD99BG64,Duchardt et al. 2016,Prescribed fire; Manage fields in patches,abundance,patch-burn graze,graze-and-burn,density,northern_bobwhite,standard_error,0.038,4,NA,0.027,NA,NA,0.073,4,NA,0.049,NA,NA,"Four pastures, but between 3 and 9 transects per treatment"
YD99BG64,Duchardt et al. 2016,Prescribed fire; Manage fields in patches,abundance,patch-burn graze,graze-and-burn,density,eastern_bluebird,standard_error,0.028,4,NA,0.016,NA,NA,0.045,4,NA,0.018,NA,NA,"Four pastures, but between 3 and 9 transects per treatment"
DS5EPZ93,Eggebo et al. 2003,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Old NWSG field (planted 10-13 years prior),Old CSG fields (planted 10-13 years prior),crowing counts (male count),ring_necked_pheasant,standard_error,7.5,8,NA,2.3,NA,NA,13.9,12,NA,3.1,NA,NA,Crowing counts of males
DS5EPZ93,Eggebo et al. 2003,Plant native warm season grasses (NWSGs) and wildflowers,abundance,New NWSG field (planted 1-3 years prior),New CSG fields (planted 1-3 years prior),crowing counts (male count),ring_necked_pheasant,standard_error,4.9,13,NA,1,NA,NA,5.3,8,NA,0.8,NA,NA,Crowing counts of males
VAP55SP2,Fletcher and Koford 2002,Plant native warm season grasses (NWSGs) and wildflowers,species_richness,Native prairie,restored grassland (CSG and WSG mix),species_richness,all_species,standard_error,6.7,10,NA,0.29,NA,NA,6.5,10,NA,0.3,NA,NA,Treatment is defined here as the native prairie
VAP55SP2,Fletcher and Koford 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Native prairie,restored grassland (CSG and WSG mix),density (male/ha),sedge_wren,confidence_intervals,0.79,10,NA,NA,0.54,1.15,0.6,10,NA,NA,0.4,0.91,Treatment is defined here as the native prairie
VAP55SP2,Fletcher and Koford 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Native prairie,restored grassland (CSG and WSG mix),density (male/ha),common_yellowthroat,confidence_intervals,2.68,10,NA,NA,1.41,5.08,1.04,10,NA,NA,0.55,1.96,Treatment is defined here as the native prairie
VAP55SP2,Fletcher and Koford 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Native prairie,restored grassland (CSG and WSG mix),density (male/ha),savannah_sparrow,confidence_intervals,0.07,10,NA,NA,0.03,0.17,0.67,10,NA,NA,0.38,1.17,Treatment is defined here as the native prairie
VAP55SP2,Fletcher and Koford 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Native prairie,restored grassland (CSG and WSG mix),density (male/ha),grasshopper_sparrow,confidence_intervals,0.08,10,NA,NA,0.05,0.15,0.32,10,NA,NA,0.21,0.5,Treatment is defined here as the native prairie
VAP55SP2,Fletcher and Koford 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Native prairie,restored grassland (CSG and WSG mix),density (male/ha),dickcissel,confidence_intervals,0.38,10,NA,NA,0.28,0.52,0.29,10,NA,NA,0.21,0.4,Treatment is defined here as the native prairie
VAP55SP2,Fletcher and Koford 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Native prairie,restored grassland (CSG and WSG mix),density (male/ha),bobolink,confidence_intervals,1.62,10,NA,NA,1.08,2.44,1.46,10,NA,NA,0.97,2.21,Treatment is defined here as the native prairie
VAP55SP2,Fletcher and Koford 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Native prairie,restored grassland (CSG and WSG mix),density (male/ha),red_winged_blackbird,confidence_intervals,0.68,10,NA,NA,0.54,0.87,0.97,10,NA,NA,0.77,1.23,Treatment is defined here as the native prairie
VAP55SP2,Fletcher and Koford 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,Native prairie,restored grassland (CSG and WSG mix),density (male/ha),american_goldfinch,confidence_intervals,0.2,10,NA,NA,0.09,0.47,0.07,10,NA,NA,0.02,0.21,Treatment is defined here as the native prairie
KHQAUEP3,Genghini et al. 2006,"Eliminate the use of pesticides, including insecticides and rodenticides",abundance,Organic farm,Conventional,density,all_species,standard_deviation,2.77,15,2.26,NA,NA,NA,1.75,26,1.39,NA,NA,NA,NA
KHQAUEP3,Genghini et al. 2006,"Eliminate the use of pesticides, including insecticides and rodenticides",species_richness,Organic farm,Conventional,shannon diversity,all_species,standard_deviation,0.68,15,0.23,NA,NA,NA,0.4,26,0.24,NA,NA,NA,Alpha diversity expressed as shannon diversity
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,species_richness,NWSG,CSG,species_richness,all_species,standard_error,11.1,21,NA,0.9,NA,NA,7.1,21,NA,0.7,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,nest_success,NWSG,CSG,fledge_rate,all_species,standard_error,0.7,21,NA,0.1,NA,NA,0.48,21,NA,0.1,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,nest_success,NWSG,CSG,depredation_rate,all_species,standard_error,0.31,21,NA,0.1,NA,NA,0.35,21,NA,0.1,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,all_species,standard_error,11.6,21,NA,1.4,NA,NA,7.1,21,NA,0.8,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,bobolink,standard_error,0.19,21,NA,0.15,NA,NA,0.04,21,NA,0.03,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,savannah_sparrow,standard_error,1.06,21,NA,0.04,NA,NA,0.61,21,NA,0.13,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,grasshopper_sparrow,standard_error,0.56,21,NA,0.18,NA,NA,0.46,21,NA,0.33,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,song_sparrow,standard_error,0.96,21,NA,0.27,NA,NA,0.17,21,NA,0.26,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,field_sparrow,standard_error,0.72,21,NA,0.26,NA,NA,0.18,21,NA,0.08,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,eastern_meadowlark,standard_error,0.31,21,NA,0.11,NA,NA,0.2,21,NA,0.06,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,red_winged_blackbird,standard_error,1.86,21,NA,0.4,NA,NA,2.68,21,NA,0.56,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,american_goldfinch,standard_error,0.31,21,NA,0.18,NA,NA,0.05,21,NA,0.04,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
LU5JZP88,Giuliano and Daves 2002,Plant native warm season grasses (NWSGs) and wildflowers,abundance,NWSG,CSG,abundance,common_yellowthroat,standard_error,0.29,21,NA,0.12,NA,NA,0.06,21,NA,0.04,NA,NA,Treatment is defined as NWSG; sample size is the minimum across years (three more were added)
9VXKLDSA,Gowdy et al. 2022,Plant native warm season grasses (NWSGs) and wildflowers,species_richness,pre-restoration,post-restoration,species_richness,all_species,standard_error,3.42,23,NA,0.08,NA,NA,1.87,15,NA,0.15,NA,NA,NA
9VXKLDSA,Gowdy et al. 2022,Plant native warm season grasses (NWSGs) and wildflowers,species_richness,pre-restoration,post-restoration,species_richness,all_species,standard_error,3.42,23,NA,0.08,NA,NA,1.87,15,NA,0.15,NA,NA,NA
9VXKLDSA,Gowdy et al. 2022,Plant native warm season grasses (NWSGs) and wildflowers,abundance,pre-restoration,post-restoration,relative abundance,all_species,standard_error,9.36,23,NA,0.13,NA,NA,3.08,15,NA,0.12,NA,NA,NA
JFJNVKAK,Grahmann et al. 2018,prescribed_fire; manage_in_patches,abundance,Patch-burn grazed fields,Grazed fields,density,northern_bobwhite,standard_error,2.9,2,NA,0.5,NA,NA,2.6,2,NA,0.6,NA,NA,NA
JFJNVKAK,Grahmann et al. 2018,prescribed_fire; manage_in_patches,survival,Patch-burn grazed fields,Grazed fields,survival,northern_bobwhite,standard_error,25,2,NA,12,NA,NA,30.8,2,NA,13.1,NA,NA,NA
M8T4QVJ5,Grueebler et al. 2012,delay_hay,nest_success,Late mowed fields,Early mowed fields,nest survival probability,whinchat,standard_error,0.701,18,NA,0.03,NA,NA,0.085,34,NA,0.004,NA,NA,NA
3J65GCSW,Harrison et al. 2010,grazing_intensity,abundance,Moderate intensity grazing,High intensity grazing,abundance,western_meadowlark,standard_error,-1.63,2,NA,0.63,NA,NA,-0.14,3,NA,0.32,NA,NA,Estimates represent betas
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),ring_necked_pheasant,standard_error,5.6,6,NA,2.3,NA,NA,9.4,14,NA,3.8,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),barn_swallow,standard_error,39.3,6,NA,8.9,NA,NA,64.7,14,NA,19.2,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),cliff_swallow,standard_error,49.7,6,NA,22.8,NA,NA,6.4,14,NA,2.6,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),sedge_wren,standard_error,10.6,6,NA,5,NA,NA,17.5,14,NA,6.2,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),common_yellowthroat,standard_error,112.2,6,NA,21.3,NA,NA,94,14,NA,18.6,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha) - 2001,eastern_meadowlark,standard_error,2.2,6,NA,1.5,NA,NA,1.4,14,NA,1,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha) - 2002,eastern_meadowlark,standard_error,4.8,6,NA,3.7,NA,NA,6.7,14,NA,2.4,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),red_winged_blackbird,standard_error,428,6,NA,57,NA,NA,592.3,14,NA,39.6,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),indigo_bunting,standard_error,1.9,6,NA,1.4,NA,NA,3.6,14,NA,1.9,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),dickcissel,standard_error,103.3,6,NA,21,NA,NA,76.7,14,NA,16.5,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),american_goldfinch,standard_error,3.6,6,NA,2.1,NA,NA,6.5,14,NA,2.2,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,density (birds/count/100 ha),song_sparrow,standard_error,93.5,6,NA,14.5,NA,NA,63,14,NA,11.4,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,species_richness,WSG non-wooded riparian filter strips,CSG non-wooded riparian filter strips,species_richness,all_species,standard_error,8.6,6,NA,0.4,NA,NA,7.3,14,NA,0.3,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG wooded riparian filter strips,CSG wooded riparian filter strips,density (birds/count/100 ha),ring_necked_pheasant,standard_error,5.2,7,NA,3,NA,NA,0.9,6,NA,0.9,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG wooded riparian filter strips,CSG wooded riparian filter strips,density (birds/count/100 ha),barn_swallow,standard_error,35,7,NA,12.4,NA,NA,24.4,6,NA,9.7,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG wooded riparian filter strips,CSG wooded riparian filter strips,density (birds/count/100 ha),cliff_swallow,standard_error,6.9,7,NA,4.3,NA,NA,0.7,6,NA,0.7,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG wooded riparian filter strips,CSG wooded riparian filter strips,density (birds/count/100 ha),sedge_wren,standard_error,4.1,7,NA,2.6,NA,NA,1.3,6,NA,0.9,NA,NA,NA
9HH6YMIM,Henningsen and Best 2005,Plant native warm season grasses (NWSGs) and wildflowers,abundance,WSG wooded riparian filter strips,CSG wooded riparian filter strips,density (birds/count/100 ha),common_yellowthroat,standard_error,30.6,7,NA,9.2,NA,NA,17.7,6,NA,4.8,NA,NA,NA
